Organization Name,Estimated Revenue Range,Industries,Headquarters Location,CB Rank (Company),Founded Date,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount (in USD),Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount (in USD),Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Region,Estimated Revenue Range Midpoint,Founded Year,City,Country,Number of Employees Midpoint,Industry_Cluster_0,Industry_Cluster_1,Industry_Cluster_2,Industry_Cluster_3,Industry_Cluster_4,Industry_Cluster_5,Industry_Cluster_6,Industry_Cluster_7,Industry_Cluster_8,Industry_Cluster_9,Industry_Cluster_10,Industry_Cluster_11,Industry_Cluster_12,Industry_Cluster_13,Industry_Cluster_14,Industry_Cluster_15,Industry_Cluster_16,Industry_Cluster_17,Industry_Cluster_18,Industry_Cluster_19,Industry_Cluster_20,Industry_Cluster_21,Industry_Cluster_22,industry_group,log_LFA,log_LEFA,Days_Since_Last_Funding,Revenue_Log_Midpoint,log_Total_Funding,log_Total_Equity_Funding,log_Employees,log_Days_Since_Last_Funding
Nusano,$1B to $10B,"Health Care, Health Diagnostics, Medical, Nuclear, Pharmaceutical, Therapeutics","Valencia, California, United States",1633,2013-01-01,101-250,Series C,Private,Late Stage Venture,2024-10-01,115000000.0,115000000.0,Series C,2,115000000.0,115000000.0,"S32, Wasatch Group",2.0,US,5500000000.0,2013.0,Valencia,United States,175.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,"Health Insurance, Energy, Medical",18.560442695023177,18.560442695023177,290,22.428013929366653,18.560442695023177,18.560442695023177,5.173320876373351,5.673323267171493
OpenSea,$10M to $50M,"Bitcoin, Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Non-Fungible Token (NFT)","New York, New York, United States",2022,2017-12-20,101-250,Series C,Private,Late Stage Venture,2022-01-05,300000000.0,427220000.0,Series C,7,300000000.0,427220000.0,"Andreessen Horowitz, Y Combinator, Founders Fund, Paradigm, Republic",58.0,US,30000000.0,2017.0,New York,United States,175.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,"Finance, Energy",19.519293035953808,19.519293035953808,1290,17.216707972959764,19.872809663334518,19.872809663334518,5.173320876373351,7.1631723908466425
Metronome,$10M to $50M,"Billing, Enterprise Software, SaaS, Software","San Francisco, California, United States",2146,2019-01-01,101-250,Series C,Private,Late Stage Venture,2025-02-25,50000000.0,128000000.0,Series C,5,50000000.0,128000000.0,"General Catalyst, Andreessen Horowitz, Activant Capital, New Enterprise Associates, Workday Ventures",23.0,US,30000000.0,2019.0,San Francisco,United States,175.5,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,"Finance, Apps, Enterprise, Family",17.72753358339242,17.72753358339242,143,17.216707972959764,18.667540829696392,18.667540829696392,5.173320876373351,4.969813299576001
Found,$1M to $10M,"Banking, Financial Services, FinTech","San Francisco, California, United States",2214,2019-01-01,101-250,Series C,Private,Late Stage Venture,2024-06-11,45999997.0,121199997.0,Series C,6,45999997.0,121199997.0,"Founders Fund, Sequoia Capital, Khosla Ventures, Lightspeed Venture Partners, Mischief",6.0,US,10277936.224785862,2019.0,San Francisco,United States,175.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finance, Industrial Engineering",17.644151910975108,17.644151910975108,402,16.145510138789046,18.61295261509784,18.61295261509784,5.173320876373351,5.998936561946683
Auradine,$10M to $50M,"Blockchain, Information Technology, Infrastructure, Security","Santa Clara, California, United States",2259,2022-01-01,101-250,Series C,Private,Late Stage Venture,2025-04-16,138000000.0,314000000.0,Series C,5,138000000.0,289000000.0,"StepStone Group, Mayfield Fund, Cota Capital, DCVC, Celesta Capital",16.0,US,34133248.35069958,2022.0,Santa Clara,United States,175.5,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,"Finance, Industrial Engineering, Enterprise, Security",18.742764250367856,18.742764250367856,93,17.345782521469822,19.56490354705724,19.481937249536912,5.173320876373351,4.543294782270004
Strider Technologies,$1M to $10M,"Artificial Intelligence (AI), Big Data, Cyber Security, Productivity Tools, Software","Salt Lake City, Utah, United States",2329,2019-05-01,101-250,Series C,Private,Late Stage Venture,2024-09-12,55000000.0,112000000.0,Series C,4,55000000.0,112000000.0,"Valor Equity Partners, AVP, Pelion Venture Partners, Koch Disruptive Technologies, Cyfr Capital",7.0,US,5500000.0,2019.0,Salt Lake City,United States,175.5,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,"Apps, Security, Data Management, It Management",17.822843761378564,17.822843761378564,309,15.520258832020865,18.53400943818794,18.53400943818794,5.173320876373351,5.736572297479192
Aquant,$10M to $50M,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Predictive Analytics","Newton Upper Falls, Massachusetts, United States",2356,2016-01-01,101-250,Series C,Private,Late Stage Venture,2021-10-06,70000000.0,115550000.0,Series C,6,70000000.0,115550000.0,"Insight Partners, Lightspeed Venture Partners, SE Ventures, Pitango VC, Angular Ventures",13.0,US,30000000.0,2016.0,Newton Upper Falls,United States,175.5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"Machine Learning, Enterprise",18.064005814299346,18.064005814299346,1381,17.216707972959764,18.565213903338925,18.565213903338925,5.173320876373351,7.231287004327616
Alkira,$10M to $50M,"Cloud Infrastructure, Cloud Security, Information Services, Information Technology, Network Security","San Jose, California, United States",2664,2018-01-01,101-250,Series C,Private,Late Stage Venture,2024-05-15,100000000.0,176000000.0,Series C,4,100000000.0,176000000.0,"Sequoia Capital, Kleiner Perkins, Geodesic Capital, Tiger Global Management, Google Ventures",9.0,US,30000000.0,2018.0,San Jose,United States,175.5,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,"Delivery Service, Enterprise, Security, Data Management",18.420680753952364,18.420680753952364,429,17.216707972959764,18.985994558684244,18.985994558684244,5.173320876373351,6.063785208687608
Radiant,$10M to $50M,"Clean Energy, Energy, Energy Efficiency, Renewable Energy","El Segundo, California, United States",2802,2019-05-16,101-250,Series C,Private,Late Stage Venture,2024-11-14,165000000.0,218819987.0,Series C,5,165000000.0,218819987.0,"Andreessen Horowitz, Tribe Capital, Alumni Ventures, Founders Fund, StepStone Group",33.0,US,30000000.0,2019.0,El Segundo,United States,175.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Energy,18.92145603792546,18.92145603792546,246,17.216707972959764,19.203759977173323,19.203759977173323,5.173320876373351,5.5093883366279774
Nutcracker Therapeutics,$10M to $50M,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Emeryville, California, United States",2953,2018-01-01,101-250,Series C,Private,Late Stage Venture,2022-03-14,167000000.0,240998000.0,Series C,4,167000000.0,240998000.0,"ARCH Venture Partners, Bluebird Ventures",2.0,US,30000000.0,2018.0,Emeryville,United States,175.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Health Insurance, Medical",18.933504376369054,18.933504376369054,1222,17.216707972959764,19.30029919681472,19.30029919681472,5.173320876373351,7.109062135687172
Finix,$10M to $50M,"Finance, Financial Services, FinTech, Payments","San Francisco, California, United States",3124,2015-01-01,101-250,Series C,Private,Late Stage Venture,2024-10-24,75000000.0,201000000.0,Series C,9,75000000.0,201000000.0,"Gaingels, Alumni Ventures, Sequoia Capital, Insight Partners, Lightspeed Venture Partners",34.0,US,30000000.0,2015.0,San Francisco,United States,175.5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Finance, Industrial Engineering",18.132998684833918,18.132998684833918,267,17.216707972959764,19.118815470998474,19.118815470998474,5.173320876373351,5.5909869805108565
ScyllaDB,$1M to $10M,"Enterprise Software, Information Services, Information Technology, Software","Sunnyvale, California, United States",3230,2012-12-01,101-250,Series C,Private,Late Stage Venture,2023-10-10,43000000.0,103000000.0,Series C,7,43000000.0,103000000.0,"Bessemer Venture Partners, Wing Venture Capital, TLV Partners, Innovation Endeavors, AllianceBernstein",11.0,US,5500000.0,2012.0,Sunnyvale,United States,175.5,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,"Apps, Delivery Service, Enterprise",17.57671069691365,17.57671069691365,647,15.520258832020865,18.450239555902648,18.450239555902648,5.173320876373351,6.473890696352274
Hipcamp,$1M to $10M,"Content, Content Discovery, Marketplace, Outdoors","San Francisco, California, United States",3287,2013-01-01,101-250,Series C,Private,Late Stage Venture,2021-01-07,57000000.0,97500000.0,Series C,7,57000000.0,97500000.0,"Andreessen Horowitz, Bond, Slow Ventures, Index Ventures, Benchmark",19.0,US,5500000.0,2013.0,San Francisco,United States,175.5,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"Machine Learning, Sales, Digital Entertainment, Residential",17.858561843342684,17.858561843342684,1653,15.520258832020865,18.395362946224484,18.395362946224484,5.173320876373351,7.4109518755836366
Apex,$50M to $100M,"Aerospace, Commercial, Manufacturing","Los Angeles, California, United States",3411,2022-01-01,101-250,Series C,Private,Late Stage Venture,2025-04-29,200000000.0,322000000.0,Series C,4,200000000.0,322000000.0,"Andreessen Horowitz, 8VC, StepStone Group, Lux Capital, Village Global",31.0,US,161367610.59750262,2022.0,Los Angeles,United States,175.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Industrial Engineering, Social Media Marketing",19.11382792951231,19.11382792951231,80,18.899195622024106,19.590062106614273,19.590062106614273,5.173320876373351,4.394449154672439
Javara Research,$1M to $10M,"Clinical Trials, Health Care, Wellness","Winston Salem, North Carolina, United States",3442,2018-01-01,101-250,Series C,Private,Late Stage Venture,2025-05-28,6600550.0,69691259.0,Series C,6,6600550.0,60261259.0,General Atlantic,1.0,US,5500000.0,2018.0,Winston Salem,United States,175.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"Health Insurance, Medical",15.702663688360472,15.702663688360472,51,15.520258832020865,18.059585473320137,17.914200000840463,5.173320876373351,3.9512437185814275
