Organization Name,Organization Name URL,Estimated Revenue Range,Industries,Headquarters Location,Description,CB Rank (Company),Founded Date,Founded Date Precision,Number of Employees,Last Funding Type,IPO Status,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Last Equity Funding Type,Number of Funding Rounds,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount (in USD),Top 5 Investors,Number of Investors,Number of Lead Investors,Website,Founders,Number of Founders,Region
CyCognito,https://www.crunchbase.com/organization/cycognito,$1M to $10M,"Cloud Security, Cyber Security, Information Technology, Network Security, SaaS","Palo Alto, California, United States","CyCognito is a leading exposure management platform that is fully-automated & highly scalable, driven to create positive business impact",1018,1-Jan-17,year,101-250,Series C,Private,Late Stage Venture,1-Dec-21,100000000,USD,100000000,153000000,USD,153000000,Series C,4,100000000,USD,100000000,153000000,USD,153000000,"Accel, Lightspeed Venture Partners, Geodesic Capital, Sorenson Capital, UpWest",14,3,https://www.cycognito.com,"Dima Potekhin, Rob Gurzeev",2,US
Onebrief,https://www.crunchbase.com/organization/onebrief,$1M to $10M,"Information Technology, Military, Productivity Tools, Software","Honolulu, Hawaii, United States",Onebrief is a web-based military planning software for rapid decision-making and collaboration.,1087,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,16-Jun-25,23581422,USD,23581422,119783379,USD,119783379,Series C,9,23581422,USD,23581422,119783379,USD,119783379,"General Catalyst, Insight Partners, Y Combinator, Battery Ventures, Caffeinated Capital",10,4,https://onebrief.com,"Grant Demaree, Rafa Pereira",2,US
Meter,https://www.crunchbase.com/organization/meter-5c65,,"Information Technology, Internet, IT Infrastructure, Software","San Francisco, California, United States","Meter provides managed network services with proprietary hardware and software, simplifying IT and connectivity.",1170,1-Jan-15,year,101-250,Series C,Private,Late Stage Venture,12-Jun-25,170000000,USD,170000000,255000000,USD,255000000,Series C,5,170000000,USD,170000000,255000000,USD,255000000,"General Catalyst, Sequoia Capital, Microsoft, Tishman Speyer, JP Morgan",20,4,https://www.meter.com,"Anil Varanasi, Sunil Varanasi",2,US
Hydrolix,https://www.crunchbase.com/organization/hydrolix,$1M to $10M,"Cloud Data Services, Database, Information Technology, Internet, Outsourcing","Portland, Oregon, United States","Hydrolix is a data management company that specializes in providing solutions for storing, managing, and analyzing large-scale data.",1202,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,3-Apr-25,80000000,USD,80000000,145000000,USD,145000000,Series C,5,80000000,USD,80000000,145000000,USD,145000000,"QED Investors, S3 Ventures, Wing Venture Capital, Sozo Ventures, Akamai Technologies",16,4,https://www.hydrolix.io,"Hasan Alayli, Marty Kagan",2,US
Rad AI,https://www.crunchbase.com/organization/radai,$1M to $10M,"Artificial Intelligence (AI), Enterprise Software, Health Care","San Francisco, California, United States","Rad AI develops software that uses AI to automate radiology report writing, aiming to enhance accuracy and reduce radiologist burnout.",1236,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,20-May-25,8000000,USD,8000000,151000000,USD,151000000,Series C,5,8000000,USD,8000000,151000000,USD,151000000,"Khosla Ventures, Transformation Capital, QuantumLight, Fifty Years, Kickstart",26,9,https://www.radai.com,"Doktor Gurson, Jeff Chang",2,US
AttackIQ,https://www.crunchbase.com/organization/attackiq,$10M to $50M,"Cyber Security, Network Security, Security, Software","Los Altos, California, United States",AttackIQ is a security optimization platform that enables a seamless threat-informed defense across its customers' security organizations.,1245,1-Jan-13,year,101-250,Series C,Private,Late Stage Venture,13-Jul-21,44000000,USD,44000000,75900000,USD,75900000,Series C,7,44000000,USD,44000000,75900000,USD,75900000,"Gaingels, Khosla Ventures, Index Ventures, Salesforce Ventures, Bossa Invest",16,6,https://www.attackiq.com,"Rajesh Sharma, Stephan Chenette",2,US
Fingerprint,https://www.crunchbase.com/organization/fingerprintjs,$1M to $10M,"Cyber Security, Fraud Detection, Software","Chicago, Illinois, United States",The highest accuracy device identity platform for high-scale applications,1444,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,17-Oct-23,33000000,USD,33000000,77000000,USD,77000000,Series C,4,33000000,USD,33000000,77000000,USD,77000000,"Nexus Venture Partners, Craft Ventures, Hack VC, Bossa Invest, Uncorrelated Ventures",7,3,https://fingerprint.com,"Dan Pinto, Valentin Vasilyev",2,US
Owner,https://www.crunchbase.com/organization/owner-com,$1M to $10M,"CRM, Restaurants, Software","Palo Alto, California, United States",Owner is a technology company that provides tools for local restaurant owners to enhance sales and online presence.,1578,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,13-May-25,120000000,USD,120000000,182200000,USD,182200000,Series C,6,120000000,USD,120000000,182200000,USD,182200000,"Y Combinator, Headline, Activant Capital, Mischief, Alt Capital",47,5,https://owner.com,"Adam Guild, Dean Bloembergen",2,US
Nusano,https://www.crunchbase.com/organization/nusano,$1B to $10B,"Health Care, Health Diagnostics, Medical, Nuclear, Pharmaceutical, Therapeutics","Valencia, California, United States","Nusano is a physics firm that produces radioisotopes, tiny tracers doctors use to diagnose and cure cancer and other ailments.",1633,1-Jan-13,year,101-250,Series C,Private,Late Stage Venture,1-Oct-24,115000000,USD,115000000,115000000,USD,115000000,Series C,2,115000000,USD,115000000,115000000,USD,115000000,"S32, Wasatch Group",2,1,http://www.nusano.com/,"Glenn Rosenthal, Howard Lewin",2,US
OpenSea,https://www.crunchbase.com/organization/opensea,$10M to $50M,"Bitcoin, Blockchain, Cryptocurrency, Decentralized Finance (DeFi), Non-Fungible Token (NFT)","New York, New York, United States","OpenSea is an NFT marketplace that enables users to discover, collect, and sell blockchain-based digital assets.",2022,20-Dec-17,day,101-250,Series C,Private,Late Stage Venture,5-Jan-22,300000000,USD,300000000,427220000,USD,427220000,Series C,7,300000000,USD,300000000,427220000,USD,427220000,"Andreessen Horowitz, Y Combinator, Founders Fund, Paradigm, Republic",58,7,https://opensea.io,"Alex Atallah, Devin Finzer",2,US
Metronome,https://www.crunchbase.com/organization/metronome-9ae7,$10M to $50M,"Billing, Enterprise Software, SaaS, Software","San Francisco, California, United States",Metronome is a usage-based billing platform that helps companies to implement new business models and launch products faster.,2146,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,25-Feb-25,50000000,USD,50000000,128000000,USD,128000000,Series C,5,50000000,USD,50000000,128000000,USD,128000000,"General Catalyst, Andreessen Horowitz, Activant Capital, New Enterprise Associates, Workday Ventures",23,3,https://metronome.com,"Kevin Liu, Scott Woody",2,US
Found,https://www.crunchbase.com/organization/foundforbusiness,,"Banking, Financial Services, FinTech","San Francisco, California, United States",Found is a fintech company that provides business banking services for self-employed people.,2214,1-Jan-19,year,101-250,Series C,Private,Late Stage Venture,11-Jun-24,45999997,USD,45999997,121199997,USD,121199997,Series C,6,45999997,USD,45999997,121199997,USD,121199997,"Founders Fund, Sequoia Capital, Khosla Ventures, Lightspeed Venture Partners, Mischief",6,2,https://found.com,"Connor Dunn, Lauren Myrick",2,US
Auradine,https://www.crunchbase.com/organization/auradine,,"Blockchain, Information Technology, Infrastructure, Security","Santa Clara, California, United States","Auradine provides web infrastructure solutions encompassing blockchain, artificial intelligence, and privacy technologies.",2259,1-Jan-22,year,101-250,Series C,Private,Late Stage Venture,16-Apr-25,138000000,USD,138000000,314000000,USD,314000000,Series C,5,138000000,USD,138000000,289000000,USD,289000000,"StepStone Group, Mayfield Fund, Cota Capital, DCVC, Celesta Capital",16,3,https://auradine.com,"Barun Kar, Rajiv Khemani",2,US
Strider Technologies,https://www.crunchbase.com/organization/strider-925c,$1M to $10M,"Artificial Intelligence (AI), Big Data, Cyber Security, Productivity Tools, Software","Salt Lake City, Utah, United States",Strider is a strategic intelligence firm that utilizes artificial intelligence to convert publicly available data into actionable insights.,2329,1-May-19,month,101-250,Series C,Private,Late Stage Venture,12-Sep-24,55000000,USD,55000000,112000000,USD,112000000,Series C,4,55000000,USD,55000000,112000000,USD,112000000,"Valor Equity Partners, AVP, Pelion Venture Partners, Koch Disruptive Technologies, Cyfr Capital",7,4,https://www.striderintel.com,"Greg Levesque, Michael Brown",2,US
Aquant,https://www.crunchbase.com/organization/aquant,$10M to $50M,"Artificial Intelligence (AI), Enterprise Software, Machine Learning, Natural Language Processing, Predictive Analytics","Newton Upper Falls, Massachusetts, United States",Aquant is an enterprise AI platform that uses machine learning to learn the enterprise's unique language and maximize equipment uptime.,2356,1-Jan-16,year,101-250,Series C,Private,Late Stage Venture,6-Oct-21,70000000,USD,70000000,115550000,USD,115550000,Series C,6,70000000,USD,70000000,115550000,USD,115550000,"Insight Partners, Lightspeed Venture Partners, SE Ventures, Pitango VC, Angular Ventures",13,5,https://www.aquant.ai/,"Assaf Melochna, Shahar Chen",2,US
Alkira,https://www.crunchbase.com/organization/alkira,$10M to $50M,"Cloud Infrastructure, Cloud Security, Information Services, Information Technology, Network Security","San Jose, California, United States","Alkira is a network infrastructure as-a-service company that unifies multiple clouds, sites, and users via an enterprise network.",2664,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,15-May-24,100000000,USD,100000000,176000000,USD,176000000,Series C,4,100000000,USD,100000000,176000000,USD,176000000,"Sequoia Capital, Kleiner Perkins, Geodesic Capital, Tiger Global Management, Google Ventures",9,5,https://www.alkira.com,"Amir Khan, Atif Khan",2,US
Radiant,https://www.crunchbase.com/organization/radiant,$10M to $50M,"Clean Energy, Energy, Energy Efficiency, Renewable Energy","El Segundo, California, United States",Radiant develops portable nuclear microreactors as clean energy alternatives.,2802,16-May-19,day,101-250,Series C,Private,Late Stage Venture,14-Nov-24,165000000,USD,165000000,218819987,USD,218819987,Series C,5,165000000,USD,165000000,218819987,USD,218819987,"Andreessen Horowitz, Tribe Capital, Alumni Ventures, Founders Fund, StepStone Group",33,3,https://radiantnuclear.com,"Bob Urberger, Doug Bernauer",2,US
Nutcracker Therapeutics,https://www.crunchbase.com/organization/nutcracker-therapeutics,$10M to $50M,"Biotechnology, Health Care, Pharmaceutical, Therapeutics","Emeryville, California, United States",Nutcracker Therapeutics is a biotech company that develops mRNA therapeutics.,2953,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,14-Mar-22,167000000,USD,167000000,240998000,USD,240998000,Series C,4,167000000,USD,167000000,240998000,USD,240998000,"ARCH Venture Partners, Bluebird Ventures",2,1,https://www.nutcrackerx.com,"Benjamin Eldridge, Igor Khandros",2,US
Finix,https://www.crunchbase.com/organization/finix-payments,$10M to $50M,"Finance, Financial Services, FinTech, Payments","San Francisco, California, United States",Finix is a full-stack payment processor that develops a payment processing platform for businesses.,3124,1-Jan-15,year,101-250,Series C,Private,Late Stage Venture,24-Oct-24,75000000,USD,75000000,201000000,USD,201000000,Series C,9,75000000,USD,75000000,201000000,USD,201000000,"Gaingels, Alumni Ventures, Sequoia Capital, Insight Partners, Lightspeed Venture Partners",34,11,https://finix.com,"Richie Serna, Sean Donovan",2,US
ScyllaDB,https://www.crunchbase.com/organization/scylladb,$1M to $10M,"Enterprise Software, Information Services, Information Technology, Software","Sunnyvale, California, United States",ScyllaDB produces a NoSQL database compatible with Apache Cassandra and Amazon DynamoDB at 10x the throughput with reliably low latencies.,3230,1-Dec-12,month,101-250,Series C,Private,Late Stage Venture,10-Oct-23,43000000,USD,43000000,103000000,USD,103000000,Series C,7,43000000,USD,43000000,103000000,USD,103000000,"Bessemer Venture Partners, Wing Venture Capital, TLV Partners, Innovation Endeavors, AllianceBernstein",11,8,http://www.scylladb.com,"Avi Kivity, Dor Laor",2,US
Hipcamp,https://www.crunchbase.com/organization/hipcamp,$1M to $10M,"Content, Content Discovery, Marketplace, Outdoors","San Francisco, California, United States",Hipcamp unlocks access to private land for camping and outdoor recreation.,3287,1-Jan-13,year,101-250,Series C,Private,Late Stage Venture,7-Jan-21,57000000,USD,57000000,97500000,USD,97500000,Series C,7,57000000,USD,57000000,97500000,USD,97500000,"Andreessen Horowitz, Bond, Slow Ventures, Index Ventures, Benchmark",19,8,http://www.hipcamp.com,"Alyssa Ravasio, Eric Bach",2,US
Apex,https://www.crunchbase.com/organization/apex-space,,"Aerospace, Commercial, Manufacturing","Los Angeles, California, United States",Apex designs and manufactures satellite buses tailored for various space missions.,3411,1-Jan-22,year,101-250,Series C,Private,Late Stage Venture,29-Apr-25,200000000,USD,200000000,322000000,USD,322000000,Series C,4,200000000,USD,200000000,322000000,USD,322000000,"Andreessen Horowitz, 8VC, StepStone Group, Lux Capital, Village Global",31,6,https://www.apexspace.com,"Ian Cinnamon, Maximilian Benassi",2,US
Javara Research,https://www.crunchbase.com/organization/javara-research,$1M to $10M,"Clinical Trials, Health Care, Wellness","Winston Salem, North Carolina, United States",Javara is an integrated research organization focused on healthcare and the research industry.,3442,1-Jan-18,year,101-250,Series C,Private,Late Stage Venture,28-May-25,6600550,USD,6600550,69691259,USD,69691259,Series C,6,6600550,USD,6600550,60261259,USD,60261259,General Atlantic,1,1,https://www.javararesearch.com,"Jennifer Byrne, Linda McCarty",2,US
Ghost,https://www.crunchbase.com/organization/ghost-4ac1,$1M to $10M,"Marketplace, Retail Technology, Software","Los Angeles, California, United States",Ghost combines real-time data with intelligent solutions to help brands monetize their excess inventory discreetly and sustainably.,3547,1-Jan-21,year,101-250,Series C,Private,Late Stage Venture,15-Oct-24,40000000,USD,40000000,95000000,USD,95000000,Series C,6,40000000,USD,40000000,88000000,USD,88000000,"L Catterton, Union Square Ventures, Cathay Innovation, Human Capital, FJ Labs",12,3,https://ghst.io,"Dee Murthy, Josh Kaplan",2,US
Owl Labs,https://www.crunchbase.com/organization/owl-labs,$10M to $50M,"Hardware, Intelligent Systems, Software, Video, Video Conferencing","Somerville, Massachusetts, United States",Owl Labs builds cutting-edge technology that creates deeply immersive collaborative experiences.,3561,1-Jan-14,year,101-250,Series C,Private,Late Stage Venture,14-Nov-22,25000000,USD,25000000,47300000,USD,47300000,Series C,4,25000000,USD,25000000,47300000,USD,47300000,"Spark Capital, Playground Global, Matrix, iRobot, HP Tech Ventures",7,4,http://www.owllabs.com,"Mark Schnittman, Max Makeev",2,US
Unit21,https://www.crunchbase.com/organization/unit21,$10M to $50M,"Compliance, Developer APIs, Fraud Detection, Risk Management, Software","San Francisco, California, United States",Unit21 is a no-code platform for risk and compliance operations.,3761,1-Dec-18,month,101-250,Series C,Private,Late Stage Venture,29-Jun-22,45000000,USD,45000000,92000000,USD,92000000,Series C,4,45000000,USD,45000000,92000000,USD,92000000,"Gaingels, South Park Commons, SV Angel, Village Global, ICONIQ Growth",22,4,https://unit21.ai,"Clarence Chio, Trisha Kothari",2,US
True Anomaly,https://www.crunchbase.com/organization/true-anomaly,,"Aerospace, Artificial Intelligence (AI), Manufacturing, Military, National Security","Centennial, Colorado, United States","True Anomaly is builds space security and resilience at the intersection of spacecraft, software, and autonomy.",4210,31-Aug-22,day,101-250,Series C,Private,Late Stage Venture,30-Apr-25,260000000,USD,260000000,418019000,USD,418019000,Series C,7,260000000,USD,260000000,400619000,USD,400619000,"Menlo Ventures, Accel, Eclipse Ventures, 645 Ventures, Rocketship.vc",15,5,https://www.trueanomaly.space,"Even Rogers, Kyle Zakrzewski",2,US
Kontakt.io,https://www.crunchbase.com/organization/kontakt,Less than $1M,"Artificial Intelligence (AI), Indoor Positioning, Internet of Things, Location Based Services","New York, New York, United States","Kontakt.io is an AI-powered RTLS platform that tracks indoor movements, improving efficiency in healthcare.",4273,1-Apr-13,day,101-250,Series C,Private,Late Stage Venture,16-Apr-24,47500000,USD,47500000,68765000,USD,68765000,Series C,7,47500000,USD,47500000,55765000,USD,55765000,"European Investment Bank, Heartcore Capital, Goldman Sachs Asset Management, Credo Ventures, iEurope Capital",5,4,http://kontakt.io,"Philipp von Gilsa, Szymon Niemczura",2,US
Mabl,https://www.crunchbase.com/organization/mabl,$10M to $50M,"Developer Tools, Product Management, SaaS, Software","Boston, Massachusetts, United States",Mabl is an intelligent test automation provider that maintains tests and identifies regressions for quality engineering.,4338,23-Jan-17,day,101-250,Series C,Private,Late Stage Venture,18-Nov-21,40000000,USD,40000000,76099001,USD,76099001,Series C,4,40000000,USD,40000000,76099001,USD,76099001,"Vista Equity Partners, Amplify Partners, CRV, Google Ventures, Presidio Ventures",5,3,https://www.mabl.com/,"Dan Belcher, Izzy Azeri",2,US
RapidSOS,https://www.crunchbase.com/organization/rapidsos,$10M to $50M,"Artificial Intelligence (AI), Mobile Apps, Public Safety","New York, New York, United States","RapidSOS is an intelligent safety platform that connects devices, apps, and sensors for safety agents.",4445,1-Jan-12,year,101-250,Series C,Private,Late Stage Venture,5-Mar-24,75000000,USD,75000000,355730006,USD,355730006,Series C,17,75000000,USD,75000000,355230006,USD,355230006,"BlackRock, Alumni Ventures, Insight Partners, Two Sigma Ventures, Playground Global",41,9,https://rapidsos.com,"Michael Martin, Nick Horelik",2,US
